#APS Storage Ring History, measured on 2013-07-09
#S:SRtimeCP      S:SRcurrentCP
#time, hr       	current, mA     
-5.51667       	0.0023543      
-5.5           	0.00219821     
-5.48333       	0.00726978     
-5.46667       	0.00399112     
-5.45          	0.00539171     
-5.43333       	0.00765001     
-5.41667       	0.0113382      
-5.4           	0.00467929     
-5.38333       	0.00969346     
-5.36667       	0.0104456      
-5.35          	0.00963442     
-5.33333       	0.0112233      
-5.31667       	0.0129266      
-5.3           	0.0149028      
-5.28333       	0.012418       
-5.26667       	0.0135215      
-5.25          	0.0138634      
-5.23333       	0.012236       
-5.21667       	0.0150857      
-5.2           	0.0165103      
-5.18333       	0.0164619      
-5.16667       	0.0116913      
-5.15          	0.0129093      
-5.13333       	0.0153224      
-5.11667       	0.0134375      
-5.1           	0.00832211     
-5.08333       	0.0122099      
-5.06667       	0.0133674      
-5.05          	0.0114635      
-5.03333       	0.0153638      
-5.01667       	0.0133401      
-5             	0.0139926      
-4.98333       	0.0150405      
-4.96667       	0.0122446      
-4.95          	0.0114687      
-4.93333       	0.0153201      
-4.91667       	0.0128186      
-4.9           	0.0164364      
-4.88333       	0.0165561      
-4.86667       	0.0159239      
-4.85          	0.0139479      
-4.83333       	0.015821       
-4.81667       	0.0149557      
-4.8           	0.0194613      
-4.78333       	0.0206819      
-4.76667       	0.0178561      
-4.75          	0.0194363      
-4.73333       	0.0217237      
-4.71667       	0.0216858      
-4.7           	0.022583       
-4.68333       	0.0210034      
-4.66667       	0.0212368      
